modelo,gb,bateria,color,usd,detalle,seccion
se2,64,75,negro,90,,usados
se2,128,75,blanco,110,,usados
11,128,75,blanco verde,180,,usados
11,128,100,blanco verde,210,,usados
11 pro,64,79,gold,210,,usados
11 pro,64,100,verde gold,245,,usados
11 pro,256,80,verde,225,,usados
11 pro,256,100,gold blanco,265,,usados
12 mini,128,78,verde,120,detalle tapa,usados
12,64,77,lila,210,,usados
12,64,80,negro,220,,usados
12,64,86,blanco,225,,usados
12,64,100,lila negro,245,,usados
12,64,77,negro,170,detalle tapa,usados
12,128,80,blanco,225,,usados
12,128,100,red azul,265,,usados
12 pro,128,73,negro,210,sin vidrio camara,usados
12 pro,128,76,azul,250,,usados
12 pro,128,81,azul,240,sin face id y otro con detalle pantalla,usados
12 pro,128,100,blue gold,310,,usados
12 pro,256,82,negro,305,,usados
12 pro,256,100,negro,325,,usados
12 pro max,128,80,negro,300,,usados
12 pro max,128,100,negro,345,,usados
13,128,71 74,blanco rosa,250,detalle pantalla,usados
13,128,77 79,rojo azul negro verde,310,,usados
13,128,85,rosa rojo blanco,320,,usados
13,128,88,verde,325,,usados
13,128,98 99,negro blanco,335,,usados
13,128,100,negro azul rojo verde,355,,usados
13,256,70,negro,290,pixel en pantalla,usados
13,512,100,negro,395,,usados
13,512,83,negro,365,,usados
13 pro,128,72 74,negro azul,380,,usados
13 pro,128,75 76,verde azul gold blanco,390,,usados
13 pro,128,78 79,negro,399,,usados
13 pro,128,98,celeste,420,,usados
13 pro,128,100,varios,440,,usados
13 pro,256,100,celeste,470,,usados
13 pro max,128,77,celeste,465,,usados
13 pro max,128,88,negro,475,,usados
13 pro max,128,100,blanco celeste,495,,usados
13 pro max,256,82,negro,470,,usados
13 pro max,256,100,celeste,510,,usados
14,128,84,lila,355,,usados
14,128,100,negro,380,,usados
14 pro,128,81,negro gold blanco,495,,usados
14 pro,128,100,gold negro,515,,usados
14 pro,256,84,negro silver,515,,usados
14 pro,256,95,negro,530,,usados
14 pro,512,85,lila,540,,usados
15,128,89,celeste,420,detalle minimo pantalla,usados
15,128,84 85,negro verde,455,,usados
15,128,87 88,rosa negro verde azul,460,,usados
15,128,89 90,rosa azul,470,,usados
15,128,100,varios,510,,usados
15 pro,128,89,blanco,480,detalle pantalla,usados
15 pro,128,100,azul,530,detalle tapa,usados
15 pro,128,89,azul,620,,usados
16e,128,99 100,blanco negro,470,,usados
16e,256,99,negro,510,,usados
16,128,94,azul,620,,usados
16,128,99,azul,630,,usados
16 pro,128,87 88,desert blanco,760,,usados
16 pro,128,89 90,blanco negro desert,765,,usados
16 pro,256,92,desert,810,,usados
16 pro max,256,85,negro,860,,usados
16 pro max,256,92,negro blanco,925,,usados
16 pro max,256,95,negro,935,,usados
16 pro max,256,98,desert,945,,usados
16 pro max,256,100,blanco,950,,usados
17 pro,256,100,orange silver,1180,semi nuevo,usados
17 pro max,256,100,silver,1300,semi nuevo,usados
Apple Watch Serie 10 46MM,,98,black,320,semi nuevo,watch
Apple Watch Ultra 2 49MM,,95,black natural,590,semi nuevo,watch
Apple Watch Ultra 3 49MM,,100,black,710,semi nuevo,watch
Joystick PS5,,,blanco,45,usado,accesorio
13,128,,consultar,525,,sellado
