prioridad,categoria,marca,modelo,unidades,referencias_a_nombrar
2,Android,Motorola,Motorola Moto Edge 60,1,A298
2,Android,Motorola,Motorola Moto Edge 60 Fusion,1,A299
2,Android,Motorola,Motorola Moto Edge 70 Fusion,1,A300
2,Android,Motorola,Motorola Moto Edge Pro,1,A297
2,Android,Motorola,Motorola Moto G06,2,A313 A312
2,Android,Motorola,Motorola Moto G15,3,A311 A310 A309
2,Android,Motorola,Motorola Moto G17,1,A308
2,Android,Motorola,Motorola Moto G35,1,A307
2,Android,Motorola,Motorola Moto G56,1,A306
2,Android,Motorola,Motorola Moto G57 Power,1,A304
2,Android,Motorola,Motorola Moto G67,1,A305
2,Android,Motorola,Motorola Moto G77,1,A303
2,Android,Motorola,Motorola Moto G86,1,A302
2,Android,Motorola,Motorola Moto G86 Power,1,A301
2,Android,POCO,Poco F8 Pro,1,A274
2,Android,POCO,Poco F8 Ultra,1,A273
2,Android,POCO,Poco M8,1,A281
2,Android,POCO,Poco M8 Pro,2,A280 A279
2,Android,POCO,Poco X8 Pro,1,A276
2,Android,POCO,Poco X8 Pro 8 GB RAM,1,A275
2,Android,POCO,Poco X8 Pro Max,2,A277 A278
2,Android,Samsung,Samsung Galaxy A07,2,A270 A271
2,Android,Samsung,Samsung Galaxy A17,2,A268 A267
2,Android,Samsung,Samsung Galaxy A27,1,A264
2,Android,Samsung,Samsung Galaxy A37,2,A263 A262
2,Android,Samsung,Samsung Galaxy A57,1,A261
2,Android,Samsung,Samsung Galaxy S25FE,2,A260 A259
2,Android,Xiaomi,Xiaomi 17 Ultra,1,A282
2,Android,Xiaomi,Xiaomi 17T,1,A283
2,Android,Xiaomi,Xiaomi Redmi 15,1,A293
2,Android,Xiaomi,Xiaomi Redmi 15C,3,A296 A294 A295
2,Android,Xiaomi,Xiaomi Redmi Note 15,3,A292 A290 A291
2,Android,Xiaomi,Xiaomi Redmi Note 15 Pro,4,A288 A289 A286 A287
2,Android,Xiaomi,Xiaomi Redmi Note 15 Pro +,2,A285 A284
3,Tablets,Lenovo,Lenovo Idea Tab Pro 12.7,1,A345
3,Tablets,Samsung,"Samsung Tab A11 8.7""",1,A357
3,Tablets,Samsung,Samsung Tab A11+,1,A355
3,Tablets,Samsung,"Samsung Tab A11+ 11""",1,A356
3,Tablets,Samsung,"Samsung Tab A9+ 11""",1,A358
3,Tablets,Samsung,Samsung Tab S10 FE + Pen,2,A353 A352
3,Tablets,Samsung,Samsung Tab S10 Lite + Pen,1,A354
3,Tablets,Samsung,Samsung Tab S11 14.6 + Pen,1,A351
3,Tablets,Samsung,Samsung Tab S11 Ultra 14.6 + Pen,1,A350
3,Tablets,Xiaomi,"Xiaomi Tablet Redmi Pad 2 SE 11""",2,A349 A348
3,Tablets,Xiaomi,"Xiaomi Tablet Redmi Pad Pro 2 12.1""",2,A347 A346
4,Notebooks,Apple,"MacBook Air 13,6 M5",2,A198 A197
4,Notebooks,Apple,"MacBook Air 15,3 M5",2,A199 A200
4,Notebooks,Apple,"MacBook Neo 13""",2,A195 A196
4,Notebooks,Apple,"MacBook Pro M5 14""",4,A201 A202 A203 A204
4,Notebooks,Apple,"MacBook Pro M5 Pro 14""",4,A205 A206 A207 A208
4,Notebooks,Apple,"MacBook Pro M5 Pro 16""",2,A209 A210
4,Notebooks,Asus,"Notebook Asus Vivobook Go 15.6""",1,A319
4,Notebooks,Dell,"Notebook Dell 15,6""",1,A314
4,Notebooks,HP,"Notebook HP 15,6""",1,A315
4,Notebooks,Lenovo,"Notebook Lenovo 14""",1,A317
4,Notebooks,Lenovo,"Notebook Lenovo 15.6""",1,A316
4,Notebooks,Lenovo,"Notebook Lenovo Ideapad 1 15.6""",1,A318
5,Relojes,Amazfit,Amazfit Active 3 Premium,1,A241
5,Relojes,Amazfit,Amazfit Balance 2,1,A240
5,Relojes,Amazfit,Amazfit Gts 4 Mini,1,A245
5,Relojes,Apple,Apple Watch SE 2 40mm,1,A231
5,Relojes,Apple,Apple Watch SE 3 40mm,1,A232
5,Relojes,Apple,Apple Watch SE 3 44mm,1,A233
5,Relojes,Apple,Apple Watch Serie 10 46mm,1,A168
