prioridad,archivo_a_subir,referencia,producto,marca,modelo,capacidad,color,categoria,motivo
2,A298.jpg,A298,Motorola Moto Edge 60 512 GB,Motorola,Motorola Moto Edge 60,512 GB,,Android,La lámina no incluye este modelo exacto
2,A299.jpg,A299,Motorola Moto Edge 60 Fusion 256 GB,Motorola,Motorola Moto Edge 60 Fusion,256 GB,,Android,La lámina no incluye este modelo exacto
2,A300.jpg,A300,Motorola Moto Edge 70 Fusion 256 GB,Motorola,Motorola Moto Edge 70 Fusion,256 GB,,Android,La lámina no incluye este modelo exacto
2,A297.jpg,A297,Motorola Moto Edge Pro 512 GB,Motorola,Motorola Moto Edge Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A313.jpg,A313,Motorola Moto G06 128 GB,Motorola,Motorola Moto G06,128 GB,,Android,La lámina no incluye este modelo exacto
2,A312.jpg,A312,Motorola Moto G06 256 GB,Motorola,Motorola Moto G06,256 GB,,Android,La lámina no incluye este modelo exacto
2,A311.jpg,A311,Motorola Moto G15 128 GB,Motorola,Motorola Moto G15,128 GB,,Android,La lámina no incluye este modelo exacto
2,A310.jpg,A310,Motorola Moto G15 256 GB,Motorola,Motorola Moto G15,256 GB,,Android,La lámina no incluye este modelo exacto
2,A309.jpg,A309,Motorola Moto G15 512 GB,Motorola,Motorola Moto G15,512 GB,,Android,La lámina no incluye este modelo exacto
2,A308.jpg,A308,Motorola Moto G17 256 GB,Motorola,Motorola Moto G17,256 GB,,Android,La lámina no incluye este modelo exacto
2,A307.jpg,A307,Motorola Moto G35 256 GB,Motorola,Motorola Moto G35,256 GB,,Android,La lámina no incluye este modelo exacto
2,A306.jpg,A306,Motorola Moto G56 256 GB,Motorola,Motorola Moto G56,256 GB,,Android,La lámina no incluye este modelo exacto
2,A304.jpg,A304,Motorola Moto G57 Power 256 GB,Motorola,Motorola Moto G57 Power,256 GB,,Android,La lámina no incluye este modelo exacto
2,A305.jpg,A305,Motorola Moto G67 256 GB,Motorola,Motorola Moto G67,256 GB,,Android,La lámina no incluye este modelo exacto
2,A303.jpg,A303,Motorola Moto G77 256 GB,Motorola,Motorola Moto G77,256 GB,,Android,La lámina no incluye este modelo exacto
2,A302.jpg,A302,Motorola Moto G86 512 GB,Motorola,Motorola Moto G86,512 GB,,Android,La lámina no incluye este modelo exacto
2,A301.jpg,A301,Motorola Moto G86 Power 256 GB,Motorola,Motorola Moto G86 Power,256 GB,,Android,La lámina no incluye este modelo exacto
2,A274.jpg,A274,Poco F8 Pro 512 GB,POCO,Poco F8 Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A273.jpg,A273,Poco F8 Ultra 512 GB,POCO,Poco F8 Ultra,512 GB,,Android,La lámina no incluye este modelo exacto
2,A281.jpg,A281,Poco M8 512 GB,POCO,Poco M8,512 GB,,Android,La lámina no incluye este modelo exacto
2,A280.jpg,A280,Poco M8 Pro 256 GB,POCO,Poco M8 Pro,256 GB,,Android,La lámina no incluye este modelo exacto
2,A279.jpg,A279,Poco M8 Pro 512 GB,POCO,Poco M8 Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A276.jpg,A276,Poco X8 Pro 512 GB,POCO,Poco X8 Pro,512 GB,,Android,La lámina no incluye este modelo exacto
2,A275.jpg,A275,Poco X8 Pro 8 GB RAM 256 GB,POCO,Poco X8 Pro 8 GB RAM,256 GB,,Android,La lámina no incluye este modelo exacto
2,A277.jpg,A277,Poco X8 Pro Max 256 GB,POCO,Poco X8 Pro Max,256 GB,,Android,La lámina no incluye este modelo exacto
2,A278.jpg,A278,Poco X8 Pro Max 512 GB,POCO,Poco X8 Pro Max,512 GB,,Android,La lámina no incluye este modelo exacto
2,A270.jpg,A270,Samsung Galaxy A07 128 GB,Samsung,Samsung Galaxy A07,128 GB,,Android,La lámina no incluye este modelo exacto
2,A271.jpg,A271,Samsung Galaxy A07 64 GB,Samsung,Samsung Galaxy A07,64 GB,,Android,La lámina no incluye este modelo exacto
2,A268.jpg,A268,Samsung Galaxy A17 128 GB,Samsung,Samsung Galaxy A17,128 GB,,Android,La lámina no incluye este modelo exacto
2,A267.jpg,A267,Samsung Galaxy A17 256 GB,Samsung,Samsung Galaxy A17,256 GB,,Android,La lámina no incluye este modelo exacto
2,A264.jpg,A264,Samsung Galaxy A27 128 GB,Samsung,Samsung Galaxy A27,128 GB,,Android,La lámina no incluye este modelo exacto
2,A263.jpg,A263,Samsung Galaxy A37 128 GB,Samsung,Samsung Galaxy A37,128 GB,,Android,La lámina no incluye este modelo exacto
2,A262.jpg,A262,Samsung Galaxy A37 256 GB,Samsung,Samsung Galaxy A37,256 GB,,Android,La lámina no incluye este modelo exacto
2,A261.jpg,A261,Samsung Galaxy A57 128 GB,Samsung,Samsung Galaxy A57,128 GB,,Android,La lámina no incluye este modelo exacto
2,A260.jpg,A260,Samsung Galaxy S25FE 256 GB,Samsung,Samsung Galaxy S25FE,256 GB,,Android,La lámina no incluye este modelo exacto
2,A259.jpg,A259,Samsung Galaxy S25FE 512 GB,Samsung,Samsung Galaxy S25FE,512 GB,,Android,La lámina no incluye este modelo exacto
2,A282.jpg,A282,Xiaomi 17 Ultra 512 GB,Xiaomi,Xiaomi 17 Ultra,512 GB,,Android,La lámina no incluye este modelo exacto
2,A283.jpg,A283,Xiaomi 17T 512 GB,Xiaomi,Xiaomi 17T,512 GB,,Android,La lámina no incluye este modelo exacto
2,A293.jpg,A293,Xiaomi Redmi 15 128 GB,Xiaomi,Xiaomi Redmi 15,128 GB,,Android,La lámina no incluye este modelo exacto
2,A296.jpg,A296,Xiaomi Redmi 15C 128 GB,Xiaomi,Xiaomi Redmi 15C,128 GB,,Android,La lámina no incluye este modelo exacto
2,A294.jpg,A294,Xiaomi Redmi 15C 256 GB,Xiaomi,Xiaomi Redmi 15C,256 GB,,Android,La lámina no incluye este modelo exacto
