referencia,producto,categoria,archivo,ocupacion_pct,texto_detectado,resolucion,estado,motivo
A101,iPhone 11 128 GB,iPhone,A101.svg,,no,vectorial,GENERADA,
A102,iPhone 11 128 GB,iPhone,A102.svg,,no,vectorial,GENERADA,
A103,iPhone 11 64 GB Negro,iPhone,A103.svg,,no,vectorial,GENERADA,
A104,iPhone 11 64 GB Negro,iPhone,A104.svg,,no,vectorial,GENERADA,
A105,iPhone 11 64 GB Negro,iPhone,A105.svg,,no,vectorial,GENERADA,
A106,iPhone 12 Mini 64 GB Negro,iPhone,A106.svg,,no,vectorial,GENERADA,
A107,iPhone 12 64 GB Negro,iPhone,A107.webp,42.8,no,1000x1000,OK,
A108,iPhone 12 64 GB Negro,iPhone,A108.webp,42.8,no,1000x1000,OK,
A109,iPhone 12 128 GB Negro,iPhone,A109.webp,42.8,no,1000x1000,OK,
A110,iPhone 12 128 GB,iPhone,A110.svg,,no,vectorial,GENERADA,
A111,iPhone 12 128 GB,iPhone,A111.svg,,no,vectorial,GENERADA,
A112,iPhone 12 Pro 128 GB Azul,iPhone,A112.svg,,no,vectorial,GENERADA,
A113,iPhone 12 Pro 128 GB Azul,iPhone,A113.svg,,no,vectorial,GENERADA,
A114,iPhone 12 Pro 128 GB Azul,iPhone,A114.svg,,no,vectorial,GENERADA,
A115,iPhone 13 Mini 128 GB,iPhone,A115.svg,,no,vectorial,GENERADA,
A116,iPhone 13 Mini 128 GB Rosa,iPhone,A116.webp,51.2,no,1000x1000,OK,
A117,iPhone 13 Mini 128 GB,iPhone,A117.webp,51.2,no,1000x1000,OK,
A118,iPhone 13 Mini 256 GB,iPhone,A118.webp,51.2,no,1000x1000,OK,
A119,iPhone 13 Mini 256 GB,iPhone,A119.webp,51.2,no,1000x1000,OK,
A120,iPhone 13 128 GB,iPhone,A120.webp,30.0,no,1000x1000,OK,
A121,iPhone 13 128 GB,iPhone,A121.webp,42.7,no,1000x1000,OK,
A122,iPhone 13 128 GB,iPhone,A122.webp,42.7,no,1000x1000,OK,
A123,iPhone 13 128 GB Negro,iPhone,A123.webp,42.7,no,1000x1000,OK,
A124,iPhone 13 128 GB Blanco,iPhone,A124.webp,30.0,no,1000x1000,OK,
A125,iPhone 13 128 GB,iPhone,A125.webp,44.0,no,1000x1000,OK,
A126,iPhone 13 256 GB Negro,iPhone,A126.webp,42.7,no,1000x1000,OK,
A127,iPhone 13 256 GB Verde,iPhone,A127.webp,42.7,no,1000x1000,OK,
A128,iPhone 13 256 GB Verde,iPhone,A128.webp,42.7,no,1000x1000,OK,
A129,iPhone 13 Pro 128 GB Blanco,iPhone,A129.webp,50.1,no,1000x1000,OK,
A130,iPhone 13 Pro 128 GB Negro,iPhone,A130.svg,,no,vectorial,GENERADA,
A131,iPhone 13 Pro 128 GB Negro,iPhone,A131.svg,,no,vectorial,GENERADA,
A132,iPhone 13 Pro Max 128 GB Negro,iPhone,A132.svg,,no,vectorial,GENERADA,
A133,iPhone 13 Pro Max 256 GB Negro,iPhone,A133.svg,,no,vectorial,GENERADA,
A134,iPhone 13 Pro Max 256 GB Negro,iPhone,A134.svg,,no,vectorial,GENERADA,
A135,iPhone 14 128 GB Negro,iPhone,A135.svg,,no,vectorial,GENERADA,
A136,iPhone 14 128 GB,iPhone,A136.webp,47.7,no,1000x1000,OK,
A137,iPhone 14 Plus 256 GB Blanco,iPhone,A137.webp,45.8,no,1000x1000,OK,
A138,iPhone 14 Plus 256 GB Blanco,iPhone,A138.webp,45.8,no,1000x1000,OK,
A139,iPhone 14 Pro 128 GB Lila,iPhone,A139.svg,,no,vectorial,GENERADA,
A140,iPhone 14 Pro 128 GB,iPhone,A140.webp,53.7,no,1000x1000,OK,
A141,iPhone 14 Pro 128 GB Lila,iPhone,A141.svg,,no,vectorial,GENERADA,
A142,iPhone 14 Pro 128 GB,iPhone,A142.webp,53.7,no,1000x1000,OK,
A143,iPhone 14 Pro 256 GB Negro,iPhone,A143.webp,53.7,no,1000x1000,OK,
A144,iPhone 14 Pro 256 GB Lila,iPhone,A144.svg,,no,vectorial,GENERADA,
A145,iPhone 14 Pro 256 GB,iPhone,A145.webp,53.7,no,1000x1000,OK,
A146,iPhone 14 Pro Max 128 GB Dorado,iPhone,A146.webp,56.6,no,1000x1000,OK,
A147,iPhone 15 128 GB Amarillo,iPhone,A147.webp,46.0,no,1000x1000,OK,
A148,iPhone 15 128 GB Rosa,iPhone,A148.webp,46.0,no,1000x1000,OK,
A149,iPhone 15 Pro 128 GB Titanio Natural,iPhone,A149.svg,,no,vectorial,GENERADA,
A150,iPhone 15 Pro 128 GB,iPhone,A150.webp,50.4,no,1000x1000,OK,
A151,iPhone 15 Pro 128 GB,iPhone,A151.webp,50.4,no,1000x1000,OK,
A152,iPhone 15 Pro 256 GB Blanco,iPhone,A152.webp,50.4,no,1000x1000,OK,
A153,iPhone 15 Pro 256 GB Negro,iPhone,A153.webp,54.7,no,1000x1000,OK,
A154,iPhone 15 Pro 256 GB Negro,iPhone,A154.webp,54.7,no,1000x1000,OK,
A155,iPhone 15 Pro 256 GB Negro,iPhone,A155.webp,54.7,no,1000x1000,OK,
A156,iPhone 15 Pro Max 256 GB,iPhone,A156.webp,54.7,no,1000x1000,OK,
A157,iPhone 16 Pro 128 GB,iPhone,A157.webp,39.9,no,1000x1000,OK,
A158,iPhone 16 Pro 128 GB,iPhone,A158.svg,,no,vectorial,GENERADA,
A159,iPhone 16 Pro 128 GB Blanco,iPhone,A159.webp,39.9,no,1000x1000,OK,
A160,iPhone 16 Pro Max 256 GB Titanio Natural,iPhone,A160.webp,50.3,no,1000x1000,OK,
A161,iPhone 16 Pro Max 256 GB,iPhone,A161.webp,39.4,no,1000x1000,OK,
A162,iPhone 16 Pro Max 256 GB,iPhone,A162.webp,50.3,no,1000x1000,OK,
A163,iPhone 16 Pro Max 256 GB Titanio Natural,iPhone,A163.webp,50.3,no,1000x1000,OK,
A164,iPhone 17e 256 GB Rosa,iPhone,A164.svg,,no,vectorial,GENERADA,
A165,iPhone 17 256 GB,iPhone,A165.webp,53.9,no,1000x1000,OK,
A166,iPhone 17 Pro 256 GB Naranja,iPhone,A166.webp,56.5,no,1000x1000,OK,
A168,Apple Watch Serie 10 46mm Negro,Relojes,A168.svg,,no,vectorial,GENERADA,
A169,Apple Watch Ultra 3 49mm Negro,Relojes,A169.svg,,no,vectorial,GENERADA,
A171,iPhone 13 128 GB,iPhone,A171.webp,44.0,no,1000x1000,OK,
A172,iPhone 14 128 GB,iPhone,A172.webp,47.0,no,1000x1000,OK,
A173,iPhone 15 128 GB,iPhone,A173.webp,46.0,no,1000x1000,OK,
A174,iPhone 15 256 GB,iPhone,A174.webp,46.0,no,1000x1000,OK,
A175,iPhone 15 512 GB,iPhone,A175.webp,46.0,no,1000x1000,OK,
A176,iPhone 15 Plus 128 GB,iPhone,A176.webp,46.5,no,1000x1000,OK,
A177,iPhone 16 128 GB,iPhone,A177.webp,52.3,no,1000x1000,OK,
A178,iPhone 16 Plus 128 GB,iPhone,A178.webp,58.5,no,1000x1000,OK,
A179,iPhone 16 Pro Max 256 GB,iPhone,A179.webp,50.3,no,1000x1000,OK,
A180,iPhone 17 256 GB,iPhone,A180.webp,53.9,no,1000x1000,OK,
A181,iPhone 17 512 GB,iPhone,A181.webp,53.9,no,1000x1000,OK,
A182,iPhone 17 Air 256 GB,iPhone,A182.webp,54.3,no,1000x1000,OK,
A183,iPhone 17e 256 GB,iPhone,A183.webp,31.4,no,1000x1000,OK,
A184,iPhone 17 Pro 256 GB Naranja,iPhone,A184.webp,56.5,no,1000x1000,OK,
A185,iPhone 17 Pro 256 GB Azul,iPhone,A185.svg,,no,vectorial,GENERADA,
A186,iPhone 17 Pro 256 GB Plata,iPhone,A186.webp,56.5,no,1000x1000,OK,
A187,iPhone 17 Pro 512 GB,iPhone,A187.webp,56.5,no,1000x1000,OK,
A188,iPhone 17 Pro 1 TB,iPhone,A188.webp,56.5,no,1000x1000,OK,
A189,iPhone 17 Pro Max 256 GB Naranja,iPhone,A189.svg,,no,vectorial,GENERADA,
A190,iPhone 17 Pro Max 256 GB Azul,iPhone,A190.webp,56.6,no,1000x1000,OK,
A191,iPhone 17 Pro Max 256 GB Plata,iPhone,A191.webp,56.6,no,1000x1000,OK,
A192,iPhone 17 Pro Max 512 GB,iPhone,A192.webp,56.6,no,1000x1000,OK,
A193,iPhone 17 Pro Max 1 TB,iPhone,A193.webp,56.6,no,1000x1000,OK,
A194,iPhone 17 Pro Max 2 TB,iPhone,A194.webp,56.6,no,1000x1000,OK,
A195,"MacBook Neo 13"" 256 GB",Notebooks,A195.svg,,no,vectorial,GENERADA,
A196,"MacBook Neo 13"" 512 GB",Notebooks,A196.svg,,no,vectorial,GENERADA,
A197,"MacBook Air 13,6 M5 512 GB",Notebooks,A197.svg,,no,vectorial,GENERADA,
A198,"MacBook Air 13,6 M5 1 TB",Notebooks,A198.svg,,no,vectorial,GENERADA,
A199,"MacBook Air 15,3 M5",Notebooks,A199.svg,,no,vectorial,GENERADA,
A200,"MacBook Air 15,3 M5 1 TB",Notebooks,A200.svg,,no,vectorial,GENERADA,
A201,"MacBook Pro M5 14""",Notebooks,A201.svg,,no,vectorial,GENERADA,
A202,"MacBook Pro M5 14""",Notebooks,A202.svg,,no,vectorial,GENERADA,
A203,"MacBook Pro M5 14""",Notebooks,A203.svg,,no,vectorial,GENERADA,
A204,"MacBook Pro M5 14""",Notebooks,A204.svg,,no,vectorial,GENERADA,
A205,"MacBook Pro M5 Pro 14""",Notebooks,A205.svg,,no,vectorial,GENERADA,
A206,"MacBook Pro M5 Pro 14""",Notebooks,A206.svg,,no,vectorial,GENERADA,
A207,"MacBook Pro M5 Pro 14""",Notebooks,A207.svg,,no,vectorial,GENERADA,
A208,"MacBook Pro M5 Pro 14""",Notebooks,A208.svg,,no,vectorial,GENERADA,
A209,"MacBook Pro M5 Pro 16""",Notebooks,A209.svg,,no,vectorial,GENERADA,
A210,"MacBook Pro M5 Pro 16""",Notebooks,A210.svg,,no,vectorial,GENERADA,
A211,iPad Mini A17 Pro 128 GB,Tablets,A211.webp,59.7,no,1000x1000,OK,
A212,iPad Mini A17 Pro 256 GB,Tablets,A212.webp,59.7,no,1000x1000,OK,
A213,iPad 11 128 GB,Tablets,A213.webp,57.4,no,1000x1000,OK,
